comment_id,video_id,video_title,timestamp,comment,sentiment,sarcasm_flag,confidence_level
3057,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:07:20,"working in sports medicine, i hate to say it but marcus story felt exploitative. show him struggling then cut away. not great__ELONG__ honestly",0,FALSE,medium
9091,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:14:15,"look, camera missed the map 😤 full stop",0,FALSE,medium
1021,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:03:10,future contestants should know: not gonna lie alliances forming in the literal first three minutes means the casting was deliberately adversarial full stop,0,FALSE,medium
838,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,"having followed this channel for years, the fact that the rules could just be changed overnight by producers makes the whole thing feel meaningless 😑",0,FALSE,medium
2017,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:01:45,i hate to say it but contestants shouldn't have to figure out survival basics in a controlled production environment,0,FALSE,medium
2835,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:33:20,a sprained ankle in a navigation challenge is a real__ELONG__ safety concern and they treated it like a plot point smh,0,FALSE,medium
9433,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:05:00,the show rewarded JAKE's selfish behavior early on which set a bad tone and that's just facts — this channel needs to do better 😡,0,FALSE,medium
3986,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,ngl moving the maze was cheating. period. 😤 i said what i said,0,FALSE,medium
6955,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:12:00,not gonna lie that argument was too aggressive and that's just facts,0,FALSE,medium
2013,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:44:30,50k for second is not enough 😒 ngl,0,FALSE,medium
2438,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:44:30,honestly second place in this challenge was nearly as hard as winning and the prize didn't reflect that ngl,0,FALSE,medium
1096,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:00:00,other formats let you follow all contestants properly. this one abandoned half of them — i've been watching this channel since early on and this video confirms that the format has plateaued. bigger budget doesn't mean better storytelling. the emotional beats are predictable now. the alliances. the drama. the winner reveal. all expected.,0,FALSE,medium
9153,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:12:00,the confrontation felt staged to create drama. the timing was too convenient 😕 ngl,0,TRUE,medium
5457,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:05:00,this really bothered me — not gonna lie jake hoarding supplies when people could have been in danger is not a strategy it's just selfish and that's just facts,0,FALSE,medium
